airline,price,departure_airport,arrival_airport,departure_time,arrival_time,duration,flight_number
Royal Air Maroc,861,CDG,CMN,2025-12-23 07:00,2025-12-23 10:10,700,AT 703
Royal Air Maroc,861,CMN,ABJ,2025-12-23 14:10,2025-12-23 17:40,700,AT 535
Air Cote D'Ivoire,894,CDG,ABJ,2025-12-23 08:00,2025-12-23 13:40,400,HF 177
Air Senegal,928,CDG,DSS,2025-12-23 08:45,2025-12-23 13:30,670,HC 404
Air Senegal,928,DSS,CKY,2025-12-23 14:45,2025-12-23 16:15,670,HC 215
Air Senegal,928,CKY,ABJ,2025-12-23 17:15,2025-12-23 18:55,670,HC 215
Air France,985,CDG,ABJ,2025-12-23 17:00,2025-12-23 22:45,405,AF 706
Air France,1030,CDG,ABJ,2025-12-23 14:10,2025-12-23 19:50,400,AF 702
Royal Air Maroc,861,CDG,CMN,2025-12-23 12:15,2025-12-23 15:25,1055,AT 779
Royal Air Maroc,861,CMN,ABJ,2025-12-24 01:20,2025-12-24 04:50,1055,AT 533
Brussels Airlines,925,CDG,BRU,2025-12-23 10:15,2025-12-23 11:10,1985,SN 3634
Brussels Airlines,925,BRU,OUA,2025-12-24 10:30,2025-12-24 15:50,1985,SN 255
Brussels Airlines,925,OUA,ABJ,2025-12-24 16:50,2025-12-24 18:20,1985,SN 255
Royal Air Maroc,1017,CDG,CMN,2025-12-23 17:35,2025-12-23 20:45,735,AT 789
Royal Air Maroc,1017,CMN,ABJ,2025-12-24 01:20,2025-12-24 04:50,735,AT 533
Brussels Airlines,1067,CDG,BRU,2025-12-23 08:25,2025-12-23 09:25,655,SN 3632
Brussels Airlines,1067,BRU,OUA,2025-12-23 10:30,2025-12-23 15:50,655,SN 255
Brussels Airlines,1067,OUA,ABJ,2025-12-23 16:50,2025-12-23 18:20,655,SN 255
