airline,price,departure_airport,arrival_airport,departure_time,arrival_time,duration,flight_number
Brussels Airlines,896,CDG,BRU,2025-12-23 10:15,2025-12-23 11:10,1985,SN 3634
Brussels Airlines,896,BRU,OUA,2025-12-24 10:30,2025-12-24 15:50,1985,SN 255
Brussels Airlines,896,OUA,ABJ,2025-12-24 16:50,2025-12-24 18:20,1985,SN 255
Air Senegal,931,CDG,DSS,2025-12-23 08:45,2025-12-23 13:30,690,HC 404
Air Senegal,931,DSS,CKY,2025-12-23 14:45,2025-12-23 16:15,690,HC 215
Air Senegal,931,CKY,ABJ,2025-12-23 17:15,2025-12-23 19:15,690,HC 215
Air Senegal,931,CDG,DSS,2025-12-23 08:45,2025-12-23 13:30,1620,HC 404
Air Senegal,931,DSS,ABJ,2025-12-24 08:00,2025-12-24 10:45,1620,HC 305
Royal Air Maroc,945,CDG,CMN,2025-12-23 07:00,2025-12-23 10:10,700,AT 703
Royal Air Maroc,945,CMN,ABJ,2025-12-23 14:10,2025-12-23 17:40,700,AT 535
Royal Air Maroc,945,CDG,CMN,2025-12-23 12:15,2025-12-23 15:25,1055,AT 779
Royal Air Maroc,945,CMN,ABJ,2025-12-24 01:20,2025-12-24 04:50,1055,AT 533
Air Cote D'Ivoire,983,CDG,ABJ,2025-12-23 08:00,2025-12-23 13:40,400,HF 177
Brussels Airlines,1012,CDG,BRU,2025-12-23 08:25,2025-12-23 09:25,655,SN 3632
Brussels Airlines,1012,BRU,OUA,2025-12-23 10:30,2025-12-23 15:50,655,SN 255
Brussels Airlines,1012,OUA,ABJ,2025-12-23 16:50,2025-12-23 18:20,655,SN 255
Royal Air Maroc,1012,CDG,CMN,2025-12-23 17:35,2025-12-23 20:45,735,AT 789
Royal Air Maroc,1012,CMN,ABJ,2025-12-24 01:20,2025-12-24 04:50,735,AT 533
Air France,1030,CDG,ABJ,2025-12-23 17:00,2025-12-23 22:45,405,AF 706
Air France,1075,CDG,ABJ,2025-12-23 14:10,2025-12-23 19:50,400,AF 702
Air France,1091,CDG,GVA,2025-12-23 18:30,2025-12-23 19:40,1490,AF 1042
Brussels Airlines,1091,GVA,BRU,2025-12-23 21:15,2025-12-23 22:30,1490,SN 2724
Brussels Airlines,1091,BRU,OUA,2025-12-24 10:30,2025-12-24 15:50,1490,SN 255
Brussels Airlines,1091,OUA,ABJ,2025-12-24 16:50,2025-12-24 18:20,1490,SN 255
Air France,1185,CDG,GVA,2025-12-23 18:30,2025-12-23 19:40,1490,AF 1042
SWISS,1185,GVA,BRU,2025-12-24 07:00,2025-12-24 08:15,1490,LX 790
Brussels Airlines,1185,BRU,OUA,2025-12-24 10:30,2025-12-24 15:50,1490,SN 255
Brussels Airlines,1185,OUA,ABJ,2025-12-24 16:50,2025-12-24 18:20,1490,SN 255
Air France,1289,CDG,GVA,2025-12-23 21:50,2025-12-23 23:00,1290,AF 1242
Brussels Airlines,1289,GVA,BRU,2025-12-24 08:15,2025-12-24 09:40,1290,SN 2712
Brussels Airlines,1289,BRU,OUA,2025-12-24 10:30,2025-12-24 15:50,1290,SN 255
Brussels Airlines,1289,OUA,ABJ,2025-12-24 16:50,2025-12-24 18:20,1290,SN 255
Air France,1289,CDG,GVA,2025-12-23 21:50,2025-12-23 23:00,1290,AF 1242
SWISS,1289,GVA,BRU,2025-12-24 07:00,2025-12-24 08:15,1290,LX 790
Brussels Airlines,1289,BRU,OUA,2025-12-24 10:30,2025-12-24 15:50,1290,SN 255
Brussels Airlines,1289,OUA,ABJ,2025-12-24 16:50,2025-12-24 18:20,1290,SN 255
Ethiopian,1615,CDG,ADD,2025-12-23 21:15,2025-12-24 06:35,945,ET 735
Ethiopian,1615,ADD,ABJ,2025-12-24 09:00,2025-12-24 12:00,945,ET 512
Qatar Airways,1731,CDG,DOH,2025-12-23 22:00,2025-12-24 06:20,1210,QR 38
Qatar Airways,1731,DOH,ACC,2025-12-24 08:45,2025-12-24 14:35,1210,QR 1423
Qatar Airways,1731,ACC,ABJ,2025-12-24 16:05,2025-12-24 17:10,1210,QR 1423
